property_type,location,size_sqm,year,month,bedrooms,bathrooms,usd_rate,iron_price,cement_price,usd_lag_3,iron_lag_3,cement_lag_3,seasonality_factor,base_price,economic_factor,price_egp
Villa,Cairo,239,2018,1,5,6,15.86,17678.83,1658.28,15.86,17678.83,1658.28,1.0,5162400.0,1.42,6730246.96
Apartment,North Coast,371,2018,1,5,4,15.33,16891.96,1530.31,15.86,17678.83,1658.28,1.0,7420000.0,1.4,11021037.65
Apartment,6th October,70,2018,1,1,1,14.17,17421.39,1535.96,15.86,17678.83,1658.28,1.0,980000.0,1.39,1268296.39
Apartment,Cairo,249,2018,1,4,4,14.95,18041.62,1576.16,15.86,17678.83,1658.28,1.0,2988000.0,1.41,4531431.44
Villa,North Coast,129,2018,1,4,4,14.76,17286.85,1557.9,15.33,16891.96,1530.31,1.0,4644000.0,1.4,6522197.86
Studio,North Coast,215,2018,1,1,1,14.91,18212.21,1639.46,14.17,17421.39,1535.96,1.0,3870000.0,1.41,5722872.24
Apartment,Cairo,180,2018,1,4,3,15.28,17788.18,1594.19,14.95,18041.62,1576.16,1.0,2160000.0,1.41,3334134.09
Apartment,6th October,293,2018,1,4,4,15.17,17524.74,1562.1,14.76,17286.85,1557.9,1.0,4102000.0,1.41,5685264.71
Apartment,North Coast,73,2018,1,1,1,15.75,17828.54,1604.22,14.91,18212.21,1639.46,1.0,1460000.0,1.42,2050687.0
Villa,New Cairo,119,2018,1,3,3,15.65,18073.04,1624.65,15.28,17788.18,1594.19,1.0,3855600.0,1.42,5825311.24
Studio,Sheikh Zayed,383,2018,1,1,1,14.43,17755.37,1608.65,15.17,17524.74,1562.1,1.0,5859900.0,1.4,7576866.77
Studio,6th October,223,2018,1,1,1,14.99,17757.56,1537.78,15.75,17828.54,1604.22,1.0,2809800.0,1.4,3573367.89
Villa,6th October,299,2018,1,7,7,14.07,17167.68,1512.71,15.65,18073.04,1624.65,1.0,7534800.0,1.39,10676944.5
Villa,Cairo,343,2018,1,7,8,14.55,17312.34,1680.73,14.43,17755.37,1608.65,1.0,7408800.0,1.4,9701251.62
Apartment,6th October,222,2018,1,5,4,14.01,17354.76,1497.96,14.99,17757.56,1537.78,1.0,3108000.0,1.39,4104719.4
Apartment,Sheikh Zayed,310,2018,1,5,5,14.28,16819.32,1509.26,14.07,17167.68,1512.71,1.0,5270000.0,1.39,8002393.03
Apartment,North Coast,201,2018,1,3,3,15.76,17127.72,1546.23,14.55,17312.34,1680.73,1.0,4020000.0,1.41,5826190.93
Apartment,New Cairo,206,2018,1,4,4,15.44,17814.93,1576.41,14.01,17354.76,1497.96,1.0,3708000.0,1.41,5605897.93
Villa,6th October,319,2018,1,7,8,15.38,17184.27,1565.32,14.28,16819.32,1509.26,1.0,8038800.0,1.4,12183659.68
Studio,Sheikh Zayed,272,2018,1,1,1,15.66,17085.42,1602.85,15.76,17127.72,1546.23,1.0,4161600.0,1.41,5414379.43
Apartment,Sheikh Zayed,324,2018,1,5,4,15.39,18502.58,1582.85,15.44,17814.93,1576.41,1.0,5508000.0,1.42,8478753.55
Apartment,New Cairo,217,2018,1,5,4,15.04,15859.34,1453.4,15.38,17184.27,1565.32,1.0,3906000.0,1.38,5792449.77
Apartment,North Coast,252,2018,1,5,4,14.79,17708.82,1474.32,15.66,17085.42,1602.85,1.0,5040000.0,1.4,6408603.32
Villa,New Cairo,269,2018,1,6,6,15.94,17432.43,1588.92,15.39,18502.58,1582.85,1.0,8715600.0,1.41,13492128.64
Apartment,6th October,383,2018,1,5,5,15.75,17473.3,1566.2,15.04,15859.34,1453.4,1.0,5362000.0,1.41,7500235.94
Apartment,Sheikh Zayed,383,2018,1,5,5,14.99,17711.14,1497.79,14.79,17708.82,1474.32,1.0,6511000.0,1.4,9994001.38
Studio,6th October,337,2018,1,1,1,15.49,18906.83,1482.29,15.94,17432.43,1588.92,1.0,4246200.0,1.42,6411293.92
Villa,Sheikh Zayed,91,2018,1,3,3,13.71,17206.83,1566.86,15.75,17473.3,1566.2,1.0,2784600.0,1.39,3817473.39
Villa,North Coast,279,2018,1,6,6,15.52,17249.73,1656.31,14.99,17711.14,1497.79,1.0,10044000.0,1.41,14199850.94
Villa,6th October,164,2018,1,5,6,14.87,17410.06,1581.14,15.49,18906.83,1482.29,1.0,4132800.0,1.4,5532823.91
Apartment,Sheikh Zayed,83,2018,1,1,1,16.48,18093.9,1594.53,13.71,17206.83,1566.86,1.0,1411000.0,1.43,2006017.16
Villa,North Coast,130,2018,1,4,4,15.7,16813.01,1658.43,15.52,17249.73,1656.31,1.0,4680000.0,1.41,6072352.48
Apartment,New Cairo,302,2018,1,5,4,14.14,17099.7,1471.13,14.87,17410.06,1581.14,1.0,5436000.0,1.39,8149876.07
Apartment,Cairo,176,2018,1,4,3,14.78,17051.72,1560.58,16.48,18093.9,1594.53,1.0,2112000.0,1.4,3074758.65
Apartment,Cairo,299,2018,1,4,3,15.17,17952.78,1518.81,15.7,16813.01,1658.43,1.0,3588000.0,1.41,5356971.17
Villa,North Coast,181,2018,1,5,6,15.12,17405.26,1557.15,14.14,17099.7,1471.13,1.0,6516000.0,1.4,9199493.55
Apartment,Sheikh Zayed,283,2018,1,5,4,15.1,18323.37,1579.35,14.78,17051.72,1560.58,1.0,4811000.0,1.41,6289862.22
Studio,6th October,72,2018,1,1,1,15.64,17996.42,1507.16,15.17,17952.78,1518.81,1.0,907200.0,1.41,1290257.64
