listing_date,area,area_tier,region,property_type,size_sqm,bedrooms,bathrooms,floor,compound,standalone,sea_view,balcony,parking_spot,elevator,finishing_level,furnishing_level,property_age_years,distance_to_cbd_km,price_per_sqm_egp,price_egp,price_usd_est,estimated_rent_egp_month
2025-08-03,Ain Sokhna,Premium,Coastal,Duplex,408,3,3,1,1,0,0,0,0,0,Semi Finished,Unfurnished,10,131.2,37229,15189409,303788,98731
2024-07-08,North Coast,Premium,Coastal,Penthouse,80,4,4,12,1,0,1,1,0,1,Fully Finished,Fully Furnished,5,208.7,120000,9600000,192000,52800
2024-05-08,6th of October,Standard,Urban,Chalet,147,3,3,3,1,0,0,0,0,0,Fully Finished,Unfurnished,9,38.6,36107,5307773,106155,29193
2025-07-11,North Coast,Premium,Coastal,Chalet,209,3,2,3,1,0,0,0,1,0,Luxury Finished,Fully Furnished,6,225.8,101647,21244228,424885,116843
2024-01-07,North Coast,Premium,Coastal,Duplex,473,4,4,7,0,0,0,0,1,0,Fully Finished,Partly Furnished,4,259.5,41003,19394244,387885,126063
2025-09-29,Heliopolis,Premium,Urban,Apartment,373,1,1,1,0,0,0,1,0,1,Core & Shell,Unfurnished,17,11.7,13366,4985587,99712,32406
2024-08-22,Alexandria,Standard,Urban,Apartment,118,1,1,11,0,0,0,1,0,1,Fully Finished,Partly Furnished,8,221.5,17095,2017193,40344,13112
2025-08-24,6th of October,Standard,Urban,Duplex,114,3,3,7,1,0,0,1,1,1,Fully Finished,Unfurnished,5,32.3,25999,2963882,59278,19265
2024-04-08,Alexandria,Standard,Urban,Chalet,366,2,1,2,0,0,0,0,0,0,Fully Finished,Fully Furnished,8,228.6,25555,9353183,187064,51443
2026-01-21,Heliopolis,Premium,Urban,Apartment,226,1,1,6,0,0,0,1,1,1,Semi Finished,Fully Furnished,11,11.2,16361,3697657,73953,24035
2025-06-25,Alexandria,Standard,Urban,Duplex,73,4,4,1,0,0,0,1,1,1,Fully Finished,Unfurnished,13,246.9,28005,2044331,40887,13288
2025-04-29,Haram,Standard,Urban,Apartment,405,1,1,12,0,0,0,1,0,1,Luxury Finished,Unfurnished,13,8.8,11813,4784340,95687,31098
2025-04-21,Sheikh Zayed,Premium,Urban,Duplex,151,5,4,2,1,0,0,1,1,1,Fully Finished,Unfurnished,11,30.6,31517,4759124,95182,30934
2025-07-13,North Coast,Premium,Coastal,Chalet,265,3,2,3,1,0,0,0,0,0,Semi Finished,Fully Furnished,0,194.5,76564,20289434,405789,111592
2025-11-04,Nasr City,Standard,Urban,Villa,419,6,5,2,0,1,0,0,1,0,Fully Finished,Unfurnished,6,10.5,41131,17578721,351574,96683
2026-01-12,Maadi,Premium,Urban,Villa,319,4,3,1,0,0,0,0,1,0,Fully Finished,Fully Furnished,8,15.9,58244,18951467,379029,104233
2026-02-19,Sheikh Zayed,Premium,Urban,Villa,103,7,6,1,1,1,0,0,1,0,Semi Finished,Partly Furnished,0,26.8,73736,7746713,154934,42607
2024-04-29,Haram,Standard,Urban,Duplex,329,4,4,4,0,0,0,1,1,1,Fully Finished,Unfurnished,10,7.2,15268,5023225,100464,32651
