Month,Iron_EGP_Ton,Cement_EGP_Ton
2022-01,15400,1080
2022-02,16200,1130
2022-03,17000,1180
2022-04,17800,1230
2022-05,18600,1280
2022-06,19400,1330
2022-07,20200,1380
2022-08,21000,1430
2022-09,21800,1480
2022-10,22600,1530
2022-11,23400,1580
2022-12,24200,1630
2023-01,26000,1650
2023-02,27800,1670
2023-03,29600,1690
2023-04,31400,1710
2023-05,33200,1730
2023-06,35000,1750
2023-07,36800,1770
2023-08,38600,1790
2023-09,40400,1810
2023-10,42200,1830
2023-11,44000,1850
2023-12,45800,1870
2024-01,48300,2350
2024-02,47300,2450
2024-03,42000,2550
2024-04,41600,2650
2024-05,41200,2750
2024-06,40800,2850
2024-07,40400,2950
2024-08,40000,3050
2024-09,39600,3150
2024-10,39200,3250
2024-11,38800,3350
2024-12,38400,3450
2025-01,38200,3500
2025-02,38300,3550
2025-03,38400,3600
2025-04,38500,3650
2025-05,38600,3700
2025-06,38700,3750
2025-07,38800,3800
2025-08,38900,3850
2025-09,39000,3900
2025-10,39100,4000
2025-11,39200,3900
2025-12,39300,3800
2026-01,37500,3600
2026-02,37500,3600
2026-03,37500,3600
2026-04,37500,3600
