listing_id;area_m2;bedrooms;bathrooms;property_type;city;district;compound;latitude;longitude;month;year;price_per_m2;price;distance_to_center;luxury_score;project_avg_price;num_listings_in_project;target_price;material_costs_iron;material_costs_cement;usd_to_egp_rate;price_usd
1;162;4;3;Chalet;North Coast;New Cairo;Madinaty;30.76760533;30.23562634;6;2024;34734;5626908;85.81073068;0.89;6484935;156;5626908;37500;3600;47.71948;117916.3729
2;330;3;3;Villa;North Coast;New Cairo;Palm Hills;30.61432061;31.35301316;8;2025;16932;5587560;76.8587412;0.3;4931254;510;5587560;37500;3600;48.49023077;115230.6333
4;131;5;1;Villa;North Coast;6th October;Beverly Hills;31.36063657;31.13183604;8;2026;12431;1628461;72.73738486;0.91;1363987;111;1628461;37500;3600;;
5;248;3;3;Villa;Alexandria;New Cairo;Madinaty;30.19515832;30.12068331;1;2026;16536;4100928;90.5807195;0.06;3750973;168;4100928;37500;3600;47.23857692;86813.11477
6;80;4;2;Villa;Cairo;Heliopolis;Rehab;30.45015045;31.18248612;11;2025;28049;2243920;15.99400342;0.71;1906932;476;2243920;37500;3600;47.37608;47363.98621
7;162;3;3;Apartment;Giza;Maadi;Beverly Hills;30.50981119;29.96734472;3;2024;13712;2221344;91.76177044;0.01;2137717;293;2221344;37500;3600;44.53108;49883.00306
8;181;2;3;Chalet;North Coast;Heliopolis;Madinaty;31.23789612;30.44109735;5;2025;17226;3117906;31.92336732;0.86;3444960;532;3117906;37500;3600;50.23519231;62066.17028
9;274;2;3;Chalet;Giza;Sheikh Zayed;Palm Hills;30.03275894;31.38454054;6;2024;25026;6857124;81.64944105;0.98;7377327;116;6857124;37500;3600;47.71948;143696.5365
10;390;3;2;Apartment;Alexandria;Sheikh Zayed;Madinaty;30.85917511;31.38800287;3;2026;35556;13866840;80.63090085;0.23;12396741;267;13866840;37500;3600;51.898;267194.1115
11;147;4;2;Apartment;Cairo;Heliopolis;Beverly Hills;30.39660022;30.02422455;7;2026;25591;3761877;68.31727069;0.16;3793903;301;3761877;37500;3600;;
12;159;5;2;Chalet;Giza;Maadi;Mountain View;31.30537401;30.4407039;6;2025;34142;5428578;27.50587712;0.5;5350882;439;5428578;37500;3600;49.96068;108657.0079
13;211;2;2;Chalet;Cairo;6th October;Madinaty;30.37764449;30.75626482;11;2025;21151;4462861;33.61826143;0.95;4901713;56;4462861;37500;3600;47.37608;94200.72323
14;190;2;2;Villa;North Coast;6th October;Mountain View;31.46250868;30.96839757;6;2026;16535;3141650;57.27065185;0.3;2600749;395;3141650;37500;3600;;
15;209;4;3;Chalet;Cairo;New Cairo;;29.82657459;31.35608579;2;2025;10556;2206204;4.154814632;0.32;2419816;429;2206204;37500;3600;50.49095833;43695.03121
16;368;2;2;Villa;Alexandria;Maadi;Marassi;30.20724116;29.55909221;10;2025;20078;7388704;50.57165591;0.62;6513711;472;7388704;37500;3600;47.58140741;155285.5286
